start training

 run  epoch   iter    rate      |  train_loss    (acc)     |  valid_loss    (acc)     |  time 
----------------------------------------------------------------------------------------------
 0.1    2.0   00566   0.100000 |  0.388836    (0.882812) |  0.252847    (0.919667) |  2.9 min
 0.2    4.0   01132   0.100000 |  0.196469    (0.929688) |  0.062733    (0.983333) |  3.3 min
 0.3    6.0   01698   0.100000 |  0.171962    (0.960938) |  0.134339    (0.960333) |  3.7 min
 0.3    8.0   02264   0.100000 |  0.158608    (0.960938) |  0.084607    (0.979000) |  4.1 min
 0.4   10.0   02830   0.100000 |  0.237128    (0.953125) |  0.048511    (0.990000) |  4.6 min
 0.5   12.0   03396   0.100000 |  0.084553    (0.960938) |  0.046005    (0.985000) |  5.0 min
 0.6   14.0   03962   0.100000 |  0.136268    (0.937500) |  0.040025    (0.987333) |  5.4 min
 0.7   16.0   04528   0.100000 |  0.145492    (0.968750) |  0.021186    (0.992667) |  5.8 min
 0.8   18.0   05094   0.100000 |  0.100901    (0.953125) |  0.092381    (0.972667) |  6.3 min
 0.8   20.0   05660   0.100000 |  0.164860    (0.968750) |  0.056436    (0.985667) |  6.7 min
 0.9   22.0   06226   0.100000 |  0.152877    (0.945312) |  0.029064    (0.990667) |  7.2 min
 1.0   24.0   06792   0.100000 |  0.099505    (0.976562) |  0.222746    (0.936667) | 10.0 min
 1.1   26.0   07358   0.100000 |  0.078991    (0.992188) |  0.107652    (0.966000) | 10.5 min
 1.2   28.0   07924   0.100000 |  0.063140    (0.984375) |  0.045018    (0.986667) | 10.9 min
 1.3   30.0   08490   0.100000 |  0.149423    (0.960938) |  0.057090    (0.983333) | 11.4 min
 1.3   32.0   09056   0.100000 |  0.126450    (0.953125) |  0.064990    (0.982000) | 11.8 min
 1.4   34.0   09622   0.100000 |  0.063677    (0.984375) |  0.026611    (0.994000) | 12.2 min
 1.5   36.0   10188   0.100000 |  0.025260    (0.992188) |  0.017053    (0.993333) | 12.7 min
